TABLE	NV3_DUAL_EX_BP_V2_004781				
WAVE	0.729	1.00E+00	1.00E+00	1.09E-11	1.09E-11
WAVE	0.73	1.00E+00	1.00E+00	1.35E-11	1.35E-11
WAVE	0.731	1.00E+00	1.00E+00	2.88E-11	2.88E-11
WAVE	0.732	1.00E+00	1.00E+00	1.08E-10	1.08E-10
WAVE	0.733	1.00E+00	1.00E+00	9.99E-10	9.99E-10
WAVE	0.734	1.00E+00	1.00E+00	2.58E-07	2.58E-07
WAVE	0.735	1.00E+00	1.00E+00	1.06E-06	1.06E-06
WAVE	0.736	1.00E+00	1.00E+00	4.23E-09	4.23E-09
WAVE	0.737	1.00E+00	1.00E+00	9.98E-10	9.98E-10
WAVE	0.738	1.00E+00	1.00E+00	6.06E-10	6.06E-10
WAVE	0.739	1.00E+00	1.00E+00	6.50E-10	6.50E-10
WAVE	0.74	1.00E+00	1.00E+00	1.15E-09	1.15E-09
WAVE	0.741	1.00E+00	1.00E+00	3.64E-09	3.64E-09
WAVE	0.742	1.00E+00	1.00E+00	3.44E-08	3.44E-08
WAVE	0.743	1.00E+00	1.00E+00	1.89E-06	1.89E-06
WAVE	0.744	1.00E+00	1.00E+00	7.34E-07	7.34E-07
WAVE	0.745	1.00E+00	1.00E+00	1.49E-07	1.49E-07
WAVE	0.746	1.00E+00	1.00E+00	1.97E-08	1.97E-08
WAVE	0.747	1.00E+00	1.00E+00	1.02E-08	1.02E-08
WAVE	0.748	1.00E+00	1.00E+00	1.17E-08	1.17E-08
WAVE	0.749	1.00E+00	1.00E+00	3.55E-08	3.55E-08
WAVE	0.75	1.00E+00	1.00E+00	5.34E-06	5.34E-06
WAVE	0.751	1.00E+00	1.00E+00	3.12E-08	3.12E-08
WAVE	0.752	1.00E+00	1.00E+00	1.44E-08	1.44E-08
WAVE	0.753	1.00E+00	1.00E+00	1.86E-08	1.86E-08
WAVE	0.754	1.00E+00	1.00E+00	1.16E-07	1.16E-07
WAVE	0.755	1.00E+00	1.00E+00	7.97E-08	7.97E-08
WAVE	0.756	1.00E+00	1.00E+00	1.06E-08	1.06E-08
WAVE	0.757	1.00E+00	1.00E+00	5.43E-09	5.43E-09
WAVE	0.758	1.00E+00	1.00E+00	5.33E-09	5.33E-09
WAVE	0.759	1.00E+00	1.00E+00	1.00E-08	1.00E-08
WAVE	0.76	1.00E+00	1.00E+00	4.45E-08	4.45E-08
WAVE	0.761	1.00E+00	1.00E+00	1.63E-08	1.63E-08
WAVE	0.762	1.00E+00	1.00E+00	4.68E-09	4.68E-09
WAVE	0.763	1.00E+00	1.00E+00	2.75E-09	2.75E-09
WAVE	0.764	1.00E+00	1.00E+00	2.57E-09	2.57E-09
WAVE	0.765	1.00E+00	1.00E+00	3.64E-09	3.64E-09
WAVE	0.766	1.00E+00	1.00E+00	8.88E-09	8.88E-09
WAVE	0.767	1.00E+00	1.00E+00	8.04E-08	8.04E-08
WAVE	0.768	1.00E+00	1.00E+00	1.21E-07	1.21E-07
WAVE	0.769	1.00E+00	1.00E+00	2.00E-08	2.00E-08
WAVE	0.77	1.00E+00	1.00E+00	1.41E-08	1.41E-08
WAVE	0.771	1.00E+00	1.00E+00	1.95E-08	1.95E-08
